Id,Mus CPRCMUS No,Tattoo,CS_Tattoo,Sex,Coronal suture,Sagittal suture,Lamboidal suture,Humeral Head,Distal Humerus,Humerus Lateral Epicondyle,Humerus Medial Epicondyle,Proximal Radius,Distal Radius,Proximal Ulna,Distal Ulna,Femoral Head,Distal Femur,Proximal Tibia,Distal Tibia,Zy-Zy,Ba-Br,Eu-Eu,Gl-Op,Go-Co,Go-Go,Po-Go,Al-MxF suture midline,HL,HPML,HPAP,HDML,HDAP,RL,RPML,RPAP,RDML,RDAP,UL,FL,FHL,FHSI,FPAP,FPML,FDML,FDAP,TL,TPML,TPAP,TDML,TDAP,IICrest,Pel_height,HDia,RDia,UDia,FDia,TDia,Pterion_Right,Pterion_Left,BMD_Hum,BMD_Fem,MCode,Pedigree,EAAD
1,"CPRCMUS-00338","31","31","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,86.34,"53.96","61.66","84.31","38.06",48.20,72.73,55.17,"131.08","14.04","16.51","24.5","16.04","128.09","10.77","11.32","14.67","11.59","143.5","154.27","152.2","13.99","14.4","11.75","25.43","19.83","142.78","26.09","18.95","16.96","13.22",,"142.86","34","28","26","38","34","TF","TF","4280","4384","Q1033","01 Tier",18.25
2,"CPRCMUS-00351","76","76","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,86.76,"50.97","62.51","85.91","39.04",46.14,69.88,59.15,"136.16","14.43","16.59","25.28","17.02","127.84","10.38","11.7","15.07","12.29","143.65","157.62","153.44","13.51","13.96","12.21","26.68","19.67","143.92","26.52","19.39","17.93","13.97",,"138.98","36","24","25","38","36","TF","TF","4163","3951",,,21.59
3,"CPRCMUS-00354","22","22","F",3,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,87.01,"56.32","62.35","82.43","40.14",45.71,70.24,52.33,"136.68","14.78","17.12","29.02","18.52","137.32","11.94","10.91","17.57","12.45","155.33","170.78","166.61","14.85","15.08","12.18","27.37","19.71","152.77","27.58","19.31","19.63","14.68","91.33","144.43","39","29","28","39","37","TF",,"4379","4280","Q1029","01 Tier",18.64
4,"CPRCMUS-00373","65","65","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,87.54,"51.65","64.38","86.39","40.35",46.42,73.67,58.43,"141.78","17.01","17.8","26.47","16.47","138.61","11.03","12.34","15.97","12.54","153.39","168.04","163.88","14.98","15.12","13.24","26.76","21.04","153.48","27.45","20.15","17.16","14.14",,"150.73","35","30","26","35","36","TF","TF","4219","4577",,,20.65
5,"CPRCMUS-00449","438 INF 1976","i76438","F",1,1,0,1,1,1,1,1,1,"1","1",1,1,1,1,53.88,,,,"18.58",30.64,37.07,25.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TF","TF",,,"Q1056","05 Tier",0.55
6,"CPRCMUS-00463","775","775","F",2,1,1,1,1,1,1,1,1,"1","1",1,1,1,1,62.70,"51.9","60.1","75.33","29.31",36.30,48.80,34.21,,"11.04","11.39",,,"95.83","8.9","8.19","10.96","9.37","108.72","112.44",,"11.6","11.67","8.45","19.49","14.47","109.33","19.44","13.41","13.21","11.96",,,"25","18","18","26","22","TF","TF",,"4013","Q1029","04 Tier",1.78
7,"CPRCMUS-00490","597","597","M",3,2,3,1,3,3,1,1,1,"1","1",1,1,1,1,79.41,"52.85","63.49","87.12","38.81",47.79,70.83,49.30,"140.56","17.41","18.2",,,"140.79","12.2","11.83","15.6","12.78","156.93","170.89",,"15.86","15.98","12.25","29.02","21.69","161.28","27.67","21.44","18.99","14.99",,"139.9","35","26","26","39","36","TF","TF","4067","3932","Q1029","04 Tier",4.01
8,"CPRCMUS-00501","752","752","F",2,1,1,1,1,1,1,1,1,"1","1",1,1,1,1,64.61,"50.43","62.08","78.39","30.64",36.22,50.98,35.48,,"10.18","13.05",,,"98.48","8.58","8.24","11.94","8.45","112.63","115.64",,"12.96","12.75","9.5","20.94","16.68","114.19","20.46","14.36","14.63","12.47",,,"25","19","21","28","27","TF","TF",,"3829","Q1056","03 Tier",1.78
9,"CPRCMUS-00525","EK","EK","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,89.77,"54.53","63.92","86.33","40.4",50.29,74.47,54.01,"143.91","16.6","18.24","29.79","19.13","144.91","11.55","13.12","16.17","13.27","163.77","175.21","171.69","15.54","15.79","13.46","29.79","22.51","161.64","29.04","22.5","19.02","14.75",,"155.49","44","31","32","43","42",,,"4014","4379","Q1053","02 Tier",23.02
10,"CPRCMUS-00532","653","653","M",2,2,2,1,3,3,2,2,1,"2","1",2,1,1,1,82.47,"53.07","63.31","84.1","37.76",50.41,69.44,51.31,"142.49","16.88","18.95","28.93","17.52","142.28","13.15","12.42","15.68","12.98","161.43","178.39","174.3","16.43","16.87","13.75","29.29","22.08","162.04","28.48","21.37","18.78","18.78",,"138.75","38","25","30","39","38","TF",,"4185","4052","Q1094","02 Tier",4.62
11,"CPRCMUS-00546","902","902","F",2,1,1,1,1,1,1,1,1,,,1,1,1,1,64.97,"49.78","60.3","75.15","28.82",36.26,52.00,36.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TF","TF",,,"Q1056","04 Tier",2.51
12,"CPRCMUS-00562","949","949","M",2,2,2,1,2,2,1,1,1,"1","1",1,1,1,1,70.09,"54.17","62.02","81.42","32.98",42.65,58.32,38.86,"127.99","12.54","15.24",,"14.88","119.76","11.11","10.56","13.35","10.48",,"150.26",,"14.92","14.57","11.67","25.22","19.31","141.87","23.98","16.16","15.43","13.72",,,"29","22","22","33","32","TF","TF","3954","4055","Q1029","04 Tier",2.81
13,"CPRCMUS-00571","657","657","M",3,2,0,1,3,3,3,3,1,"2","1",3,2,2,2,91.20,,"66.93",,,41.32,47.83,78.32,"150.83","17.78","19.33","28.74","18.92","149.65","12.37","13.25","15.75","13.39","170.17","185.1","179.84","15.42","16.19","13.83","30.1","23.85","168.1","29.31","21.87","18.55","15",,"145.15","40","33","28","43","41","TF","TF","4352","4194","Q1029","03 Tier",6.01
14,"CPRCMUS-00593","B15","B15","M",2,1,1,1,1,1,1,1,1,"1","1",1,1,1,1,64.22,"55.69","61.33","81.54","30.16",37.17,49.44,33.80,,,,,,"99.21","8.91","8.22","10.8","9.21",,"119.5",,"11.99","12.11","8.59","20.67","14.7","118.72","19.88","13.17","14.3","11.82",,,"27","22","18","28","26","TF","TF","3921","3905","Q1029","04 Tier",1.75
15,"CPRCMUS-00597","306","306","F",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,87.60,"59.42","65.17","91.58","41.36",47.24,77.21,55.78,"144.94","17.19","18.72","27.74","18.16","148.09","11.42","12.56","15.26","14.29","166.13","177.62","171.25","16.08","16.15","14.06","21.74","29.09","158.96","30.99","20.36","18.86","14.75",,"160.17","42","32","29","46","40",,,"4521","4217","Q1029","03 Tier",11.07
16,"CPRCMUS-00603","289","289","M",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,99.29,"60.04","67.14","89.61","44.7",56.63,80.80,58.68,"158.26","16.9","19.22","32.57","18.91","162.54","12.81","13.91","19.2","14.71","182.37","199.43","194.12","17.29","17.72","14.71","32.5","23.44","182.2","31.56","23.64","21.98","17.57",,"172.38","44","33","33","48","46","TF","TF","4333","4376","Q1053","03 Tier",12.76
17,"CPRCMUS-00636","462","462","M",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,98.28,"57.43","66.63","84.92","41.36",52.75,82.68,60.58,"164.78","19.34","21.82","34.07","19.1","164.31","14.73","13.97","18.16","14.54","185.85","207.8","203.78","17.08","17.46","14.1","32.57","25.4","176.43","31.25","23.85","18.99","17.22",,"174.98","46","33","33","47","47",,,"4475","4217","Q1053","04 Tier",11.27
18,"CPRCMUS-00659","D61","D61","M",2,1,1,1,1,1,1,1,1,"1","1",1,1,1,1,59.23,"50.51","58.2","73.2","25.67",32.64,45.71,31.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"TF","TF","4131","4049","Q1053","04 Tier",3.60
19,"CPRCMUS-00665","F21/424","F21","F",2,2,2,1,3,3,1,1,1,"1","1",1,1,1,1,78.09,"55.54","65.31","85.82","31.65",48.54,61.80,41.39,,,,,,,,,,,,"153.48",,"16.01","16.01","12.59","26.64","21.17",,"26.27","19.36",,,,"127.83","34","24","27","37","35","TF","TF",,,"Q1029","05 Tier",1.99
20,"CPRCMUS-00667","512/32","512","M",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,103.96,"62.77","74.33","91.55","40.22",54.95,85.51,65.02,"158.95","19.52","21.66","32.47","19.38","158.17","12.52","14.12","18.22","15.6","178.92","196.27","190.05","16.69","17.39","14.58","33.55","25.03","179.89","34.44","23.94","20.76","16.99","105.45","164.89","47","33","36","49","47",,,"4384","4355","Q1056","02 Tier",12.13
21,"CPRCMUS-00687","794","794","M",3,3,3,2,3,3,3,3,2,"3","2",3,2,3,2,100.89,"58.46","67.4","86.42","39.2",54.58,85.29,61.35,"160.39","19.05","20.35","30.81","18.32","161.83","13.2","14.35","16.59","14.51","181.92","197.42","193.17","17.66","17.97","15.24","30.63","24.9","175.93","30.48","23.7","19.69","16.22",,"165.37","43","30","31","46","43","TF","TF","4383","4256","Q1056","03 Tier",6.40
22,"CPRCMUS-00787","992","992","M",2,2,2,1,3,3,1,1,1,"1","1",1,1,1,1,81.35,"58.03","66.45","89.03","34",49.72,69.44,49.60,"144.14","17.51","18.98","30.41","17.79",,,,,,,"184.3",,"16.53","17.01","12.82","30.06","23.09","171.08","28.86","20.7","19","15.69",,"144.71","38","28","28","42","36","TF","TF","4205","4032","Q1053","04 Tier",4.27
23,"CPRCMUS-00801","648","648","M",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,94.45,"55.96","65.71","84.33","40.45",54.84,78.42,59.68,"155.41","18.14","20.69","29.53","17.67","161.42","13.08","14.07","17.55","14.5","181.05","191.82","187.98","17.83","17.9","13.98","31.12","24.58","176.19","30.15","23.17","19.96","15.56",,"163.57","44","33","33","48","48","TF","TF","4353","4129","Q1053","04 Tier",8.18
24,"CPRCMUS-00806","599","599","M",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,97.98,,"68.2","89.99","42.49",51.41,84.73,56.38,"155.36","17.3","19.29","26.74","17.43","152.81","12.78","11.97","15.71","13.64","171.35","191.98","186.68","17.03","17.6","16.04","29.58","24.35","175.97","28.77","22.67","18.87","15.16",,"165.54","45","31","30","47","42","TF","TF",,"4267","Q1029","04 Tier",10.47
25,"CPRCMUS-00814","640","640","M",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,96.69,"56.76","66.97","88.56","44.11",55.66,85.42,60.34,"156.82","18.56","20.28","29.82","19.16","150.3","11.93","13.92","17.21","14.47","171.07","186.21","180.51","17.13","17.26","13.49","32.15","23.93","172.34","31.21","21.77","19.68","16.32",,"165.88","43","33","35","47","44","TF","TF","4279","4225","Q1029","04 Tier",10.20
26,"CPRCMUS-00823","790","790","F",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,82.69,"55.22","62.76","84.54","34.69",49.02,68.02,50.17,"142.37","15.34","17.86","26.21","16.29","142.53","11.26","12.35","15","12.55","157.89","173.07","170.53","15.41","15.71","12.89","26.54","21.16","160.2","26.3","19.96","16.69","13.75",,"149.23","37","23","28","37","35","TF",,"4383","4248","Q1053","04 Tier",7.73
27,"CPRCMUS-00850","P8","P8","F",0,0,0,3,3,3,3,3,3,"3","3",3,3,3,3,89.09,,,,"36.36",53.19,75.76,58.67,"146.17","15.57","17.56","29.19","16.05","150.64","11.05","12.67","16.79","13.67","171.95","180.75","179.12","15.21","15.45","12.38","29.22","20.77","163.05","29.45","22.19","19.49","15.07",,"160.94","42","31","30","43","40",,,"4209","4295","Q1053","03 Tier",18.17
28,"CPRCMUS-00853","643","643","F",3,2,3,3,3,3,3,3,3,"3","3",3,3,3,3,79.97,"55.83","61.54","85.08","38.19",47.45,66.57,50.03,"134.41","15.08","16.94","24.72","15.12","137.03","10.4","11.31","14.61","11.53","153.33","161.88","159.37","14.48","14.68","11.79","26.11","20.79","153.55","26.38","19.52","16.84","13.59",,"144.33","37","27","26","40","36","TF","TF",,"4233","Q1053","05 Tier",8.47
29,"CPRCMUS-00934","E82","E82","F",3,3,3,1,3,3,2,2,1,"2","1",3,1,2,1,77.63,"52.11","61.91","83.17","31.65",40.92,64.25,45.47,"133.38","14.88","16.94","25.31","15.07","130.62","11.32","12.14","13.56","11.89","148.31","162.21","159.36","14.67","14.82","11.65","26.8","22.34","145","24.82","19.79","17.37","14.58",,"134.24","33","34","24","39","37","TF","TF","4173","4073","Q1056","03 Tier",2.20
30,"CPRCMUS-00952","B44/454","B44","F",3,2,3,1,3,3,3,2,1,"2","1",2,1,1,1,76.46,"51.8","60.46","83.83","35.27",39.86,61.15,40.36,"135.29","14.14","16.55","24.06","14.99","130.8","10.41","11.06","13.58","11.41","145.08","155.88","153.38","13.91","14.17","11.02","25.4","19.93","146.32","24.18","18.38","15.4","13.39",,"132.79","32","24","26","37","36","TF","TF","4074","4019","Q1029","04 Tier",3.93
31,"CPRCMUS-00953","293","293","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,86.73,"60.91","65.39","88.73","47.2",45.24,77.75,57.46,"141.46","16.09","18.69","27.71","16.93","136.66","12.12","10.7","15.68","13.19","155.59","166.43","161.61","15.73","16.02","13.19","28.9","22.84","158.92","29.32","21.47","18.2","14.4",,"153.19","41","28","29","40","40","TF","TF","4176","4229","Q1029","03 Tier",16.31
32,"CPRCMUS-00957","D66","D66","F",3,3,3,1,3,3,3,3,1,"3","1",3,1,2,2,72.96,"51.18","57.65","82.15","34.06",43.19,62.59,40.76,"131.87","14.77","16.01","27.03","13.97","133.39","10.35","10.18","13.66","11.02","149.2","165.11","160.37","14.16","14.15","10.86","25.51","20.29","148.27","24.49","18.86","15.9","13.13",,"136.26","31","23","23","34","33","TF","TF","4054","4106","Q1029","05 Tier",4.89
33,"CPRCMUS-00970","E85","E85","F",3,2,3,1,3,3,3,2,1,"2","1",2,1,1,1,72.40,"57.78","60.77","57.52","30.11",41.18,60.89,41.39,"132.82","14.36","15.69","24.39","15.05","126.26","10.11","10.91","13.14","11.47","146.92","157.91","154.86","14.81","14.67","11.05","25.82","19.99","144.48","25.37","19.06","16.99","13.53",,"129.63","32","22","23","37","33","TF","TF","4088","4188","Q1056","05 Tier",3.82
34,"CPRCMUS-01052","939/452","939","F",3,3,3,1,3,3,3,3,1,"3","1",3,2,2,3,78.22,"53.15","63.29","85.36","41.65",41.26,67.03,45.69,"144","15.49","17.44","25.99","16.08","141.56","11.45","12.91","14.96","12.03","158.12","175.33","169.32","15.07","15.28","12.12","27.67","21.8","159.15","26.37","19.78","16.61","13.43",,"141.86","35","26","26","40","36","TF","TF","4459","4190","Q1029","04 Tier",5.83
35,"CPRCMUS-01199","740","740","F",3,4,3,3,3,3,3,3,3,"3","3",3,3,3,3,87.76,"56.35","63.18","84.25","41.93",51.79,71.25,50.44,"143.43","14.37","18.08","26.86","16.62","142.73","11.27","12.95","15.65","12.74","157.19","172.96","168.07","15.23","15.39","13.53","28.45","21.69","156.01","27.99","20.43","17.7","13.93",,"151.78","40","32","28","42","39",,"SP","4510","4159","Q1029","04 Tier",10.47
